,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
484,2019,FLORIDA,Over 18,6773,667,7440
485,2019,GEORGIA,Over 18,3261,384,3645
486,2019,HAWAII,Over 18,128,0,128
487,2019,IDAHO,Over 18,192,0,192
488,2019,ILLINOIS,Over 18,1844,509,2353
489,2019,INDIANA,Over 18,963,504,1467
490,2019,IOWA,Over 18,0,64,64
491,2019,KANSAS,Over 18,128,0,128
492,2019,KENTUCKY,Over 18,1769,1472,3241
493,2019,LOUISIANA,Over 18,576,192,768
494,2019,MAINE,Over 18,320,0,320
495,2019,MARYLAND,Over 18,1856,576,2432
496,2019,MASSACHUSETTS,Over 18,1497,762,2259
497,2019,MICHIGAN,Over 18,3514,109,3623
498,2019,MINNESOTA,Over 18,7831,832,8663
499,2019,MISSISSIPPI,Over 18,89,0,89
500,2019,MISSOURI,Over 18,1226,550,1776
501,2019,MONTANA,Over 18,210,0,210
502,2019,NEBRASKA,Over 18,192,0,192
503,2019,NEVADA,Over 18,11712,0,11712
504,2019,NEW HAMPSHIRE,Over 18,128,0,128
505,2019,NEW JERSEY,Over 18,91,121,212
506,2019,NEW MEXICO,Over 18,320,192,512
507,2019,NEW YORK,Over 18,64,0,64
508,2019,NORTH CAROLINA,Over 18,2560,1881,4441
509,2019,NORTH DAKOTA,Over 18,256,0,256
510,2019,OHIO,Over 18,576,128,704
511,2019,OKLAHOMA,Over 18,384,0,384
512,2019,OREGON,Over 18,1856,0,1856
513,2019,RHODE ISLAND,Over 18,595,256,851
514,2019,SOUTH CAROLINA,Over 18,1585,128,1713
515,2019,SOUTH DAKOTA,Over 18,128,0,128
516,2019,TENNESSEE,Over 18,2929,256,3185
517,2019,TEXAS,Over 18,22286,7418,29704
518,2019,UTAH,Over 18,4928,0,4928
519,2019,VERMONT,Over 18,158,0,158
520,2019,VIRGINIA,Over 18,3011,180,3191
521,2019,WASHINGTON,Over 18,3477,192,3669
522,2019,WEST VIRGINIA,Over 18,1731,64,1795
523,2019,WISCONSIN,Over 18,6408,646,7054
524,2020,ALABAMA,Over 18,128,0,128
525,2020,ALASKA,Over 18,192,64,256
526,2020,ARIZONA,Over 18,1840,0,1840
527,2020,ARKANSAS,Over 18,64,64,128
528,2020,COLORADO,Over 18,2288,256,2544
529,2020,CONNECTICUT,Over 18,571,64,635
530,2020,DELAWARE,Over 18,304,180,484
531,2020,FLORIDA,Over 18,15002,859,15861
532,2020,GEORGIA,Over 18,10808,1965,12773
533,2020,HAWAII,Over 18,704,0,704
534,2020,IDAHO,Over 18,217,50,267
535,2020,ILLINOIS,Over 18,896,564,1460
536,2020,INDIANA,Over 18,1920,512,2432
537,2020,KENTUCKY,Over 18,906,94,1000
538,2020,LOUISIANA,Over 18,512,192,704
539,2020,MAINE,Over 18,192,0,192
540,2020,MARYLAND,Over 18,1216,64,1280
541,2020,MASSACHUSETTS,Over 18,1493,318,1811
542,2020,MICHIGAN,Over 18,2542,263,2805
543,2020,MINNESOTA,Over 18,3841,776,4617
544,2020,MISSISSIPPI,Over 18,64,0,64
545,2020,MISSOURI,Over 18,2632,192,2824
