,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
428,Over 18,42892,1494,3176,38,71,73,1312,343,2566,235,32,5582,144,339,22,472,1151,366,29,87,7288,0,211,6089,1094,87,843,0,14417,1,0,0,0,KANSAS,2020,158
429,Under 18,3629,152,522,6,22,12,112,64,386,51,21,850,4,11,0,24,247,19,1,17,623,0,10,92,254,0,132,0,671,0,0,192,1850993,KANSAS,2021,39
430,Total all ages,50774,1895,3965,45,97,105,1648,448,3160,305,52,6798,111,270,25,431,1593,352,37,106,8668,0,185,5766,1215,0,1118,0,18239,0,0,0,0,KANSAS,2021,203
431,Over 18,47145,1743,3443,39,75,93,1536,384,2774,254,31,5948,107,259,25,407,1346,333,36,89,8045,0,175,5674,961,0,986,0,17568,0,0,0,0,KANSAS,2021,164
432,Under 18,6364,339,2351,6,17,170,146,460,1723,84,84,1013,18,10,6,163,165,94,3,54,697,2,3,69,42,98,284,7,944,0,2,369,4315933,KENTUCKY,2013,71
433,Total all ages,178212,3687,22506,129,187,1275,2096,3669,18060,607,170,11175,1051,1063,428,1902,1096,1007,298,418,21830,15,4891,21946,260,17041,4715,212,62669,0,2,0,0,KENTUCKY,2013,605
434,Over 18,171848,3348,20155,123,170,1105,1950,3209,16337,523,86,10162,1033,1053,422,1739,931,913,295,364,21133,13,4888,21877,218,16943,4431,205,61725,0,0,0,0,KENTUCKY,2013,534
435,Under 18,6453,367,2203,11,27,213,116,530,1506,111,56,1078,10,20,9,232,158,123,0,55,656,1,3,50,34,75,309,10,1060,0,0,390,4361843,KENTUCKY,2014,82
436,Total all ages,178916,3790,23106,159,249,1260,2122,3507,18825,629,145,11316,1022,1135,483,1912,1097,1015,226,370,21644,9,4758,19953,234,15663,4537,179,66467,0,0,0,0,KENTUCKY,2014,619
437,Over 18,172463,3423,20903,148,222,1047,2006,2977,17319,518,89,10238,1012,1115,474,1680,939,892,226,315,20988,8,4755,19903,200,15588,4228,169,65407,0,0,0,0,KENTUCKY,2014,537
438,Under 18,6232,336,1881,9,28,187,112,443,1236,185,17,1121,8,15,8,334,193,101,0,45,615,8,3,41,13,57,267,0,1185,0,1,389,4381885,KENTUCKY,2015,73
439,Total all ages,195415,3484,20873,159,238,1136,1951,3169,16949,681,74,11508,986,1135,467,2125,1059,872,275,375,22106,15,4375,17825,127,15061,4453,145,88148,0,1,0,0,KENTUCKY,2015,613
440,Over 18,189183,3148,18992,150,210,949,1839,2726,15713,496,57,10387,978,1120,459,1791,866,771,275,330,21491,7,4372,17784,114,15004,4186,145,86963,0,0,0,0,KENTUCKY,2015,540
441,Under 18,5639,402,1466,17,32,223,130,340,853,263,10,1039,20,13,7,464,184,95,0,33,501,0,5,66,26,57,230,0,1028,0,3,419,4424357,KENTUCKY,2016,65
442,Total all ages,210586,3487,18219,185,236,1122,1944,2994,14286,886,53,11703,1021,1003,441,2628,1132,891,252,297,23308,9,4547,16901,94,14259,4095,137,106159,0,3,0,0,KENTUCKY,2016,533
443,Over 18,204947,3085,16753,168,204,899,1814,2654,13433,623,43,10664,1001,990,434,2164,948,796,252,264,22807,9,4542,16835,68,14202,3865,137,105131,0,0,0,0,KENTUCKY,2016,468
444,Under 18,5273,393,1414,26,24,212,131,326,911,171,6,1029,13,16,8,347,164,94,0,39,533,0,5,41,8,44,177,0,946,0,2,330,4329947,KENTUCKY,2017,63
445,Total all ages,219872,3398,17117,185,212,987,2014,2891,13271,894,61,12015,1102,1370,390,2992,1167,967,166,292,26397,3,5216,15143,72,13722,3949,70,114322,0,2,0,0,KENTUCKY,2017,504
446,Over 18,214599,3005,15703,159,188,775,1883,2565,12360,723,55,10986,1089,1354,382,2645,1003,873,166,253,25864,3,5211,15102,64,13678,3772,70,113376,0,0,0,0,KENTUCKY,2017,441
447,Under 18,2985,161,691,9,24,59,69,125,428,107,31,767,6,12,16,86,77,24,0,28,257,0,2,39,11,27,137,0,643,0,1,332,3500586,KENTUCKY,2018,52
448,Total all ages,205075,1982,12269,126,252,517,1087,2060,9363,723,123,9649,812,989,378,1459,806,508,95,237,19355,1,4729,14812,168,14231,3664,23,118907,0,1,0,0,KENTUCKY,2018,489
449,Over 18,202090,1821,11578,117,228,458,1018,1935,8935,616,92,8882,806,977,362,1373,729,484,95,209,19098,1,4727,14773,157,14204,3527,23,118264,0,0,0,0,KENTUCKY,2018,437
450,Under 18,4798,330,1193,15,38,130,147,262,692,192,47,933,13,33,4,355,219,101,0,28,398,0,5,41,8,41,164,0,930,0,2,388,4315643,KENTUCKY,2019,66
451,Total all ages,241668,3386,16163,161,267,774,2184,2646,12383,987,147,12391,1074,1426,351,2902,1406,820,100,234,24555,19,5202,15570,135,14049,4082,50,137751,0,2,0,0,KENTUCKY,2019,501
452,Over 18,236870,3056,14970,146,229,644,2037,2384,11691,795,100,11458,1061,1393,347,2547,1187,719,100,206,24157,19,5197,15529,127,14008,3918,50,136821,0,0,0,0,KENTUCKY,2019,435
453,Under 18,1920,158,495,4,31,63,60,143,250,96,6,485,3,5,8,104,62,37,0,13,190,0,0,28,1,23,28,0,280,0,0,336,3713933,KENTUCKY,2020,44
454,Total all ages,141158,2105,9318,109,226,426,1344,2006,6535,712,65,9965,477,779,273,1558,963,407,15,177,17118,0,3403,12122,31,9101,2900,2,70444,0,0,0,0,KENTUCKY,2020,403
455,Over 18,139238,1947,8823,105,195,363,1284,1863,6285,616,59,9480,474,774,265,1454,901,370,15,164,16928,0,3403,12094,30,9078,2872,2,70164,0,0,0,0,KENTUCKY,2020,359
456,Under 18,2520,282,429,26,27,120,109,125,199,98,7,610,6,14,1,351,100,83,0,21,266,0,2,8,0,0,23,0,324,0,0,426,4505498,KENTUCKY,2021,48
457,Total all ages,177379,3428,9500,219,252,607,2350,2123,6534,778,65,11215,506,1057,177,2630,1302,704,15,214,20758,8,3990,12426,20,0,3307,17,106105,0,0,0,0,KENTUCKY,2021,466
458,Over 18,174859,3146,9071,193,225,487,2241,1998,6335,680,58,10605,500,1043,176,2279,1202,621,15,193,20492,8,3988,12418,20,0,3284,17,105781,0,0,0,0,KENTUCKY,2021,418
459,Under 18,16666,1122,4274,11,65,179,867,854,3150,234,36,3337,14,18,1,148,502,266,14,129,1603,47,40,34,103,35,2168,47,2610,16,138,138,3114237,LOUISIANA,2013,194
460,Total all ages,149789,8563,28322,205,263,954,7141,4353,23026,843,100,17955,659,1643,158,1273,2758,1815,529,760,20727,83,1077,6182,1650,3118,7929,417,43979,54,138,0,0,LOUISIANA,2013,1023
461,Over 18,133123,7441,24048,194,198,775,6274,3499,19876,609,64,14618,645,1625,157,1125,2256,1549,515,631,19124,36,1037,6148,1547,3083,5761,370,41369,38,0,0,0,LOUISIANA,2013,829
462,Under 18,12356,611,3060,12,36,137,426,775,2062,193,30,2606,7,9,1,145,383,180,5,83,1007,2,34,28,86,14,1426,20,2471,3,175,132,2837980,LOUISIANA,2014,119
463,Total all ages,121145,5215,20526,165,218,669,4163,3445,16290,721,70,15282,546,1154,98,1166,1968,1585,398,619,17693,34,1125,5598,1154,2626,5777,124,38180,102,175,0,0,LOUISIANA,2014,837
464,Over 18,108789,4604,17466,153,182,532,3737,2670,14228,528,40,12676,539,1145,97,1021,1585,1405,393,536,16686,32,1091,5570,1068,2612,4351,104,35709,99,0,0,0,LOUISIANA,2014,718
465,Under 18,10775,558,2514,10,50,120,378,557,1749,190,18,1746,1,10,1,133,339,226,3,68,1022,4,41,30,184,17,1706,0,2051,4,117,121,2467765,LOUISIANA,2015,118
466,Total all ages,111454,4813,18898,151,231,645,3786,2919,15168,741,70,12438,390,854,20,1114,1569,1763,130,507,17686,35,886,5339,2723,2204,5350,177,34411,30,117,0,0,LOUISIANA,2015,738
467,Over 18,100679,4255,16384,141,181,525,3408,2362,13419,551,52,10692,389,844,19,981,1230,1537,127,439,16664,31,845,5309,2539,2187,3644,177,32360,26,0,0,0,LOUISIANA,2015,620
468,Under 18,19018,1328,4669,28,112,333,855,1211,3085,353,20,3061,10,38,4,372,600,452,11,172,1475,14,42,32,233,25,2537,51,3584,9,299,168,4183659,LOUISIANA,2016,284
469,Total all ages,191920,11372,32355,339,499,1646,8888,5422,25436,1388,109,23075,731,1473,172,2283,3739,3777,521,1355,27529,79,1538,7587,3596,3567,10435,250,56154,33,299,0,0,LOUISIANA,2016,1854
470,Over 18,172902,10044,27686,311,387,1313,8033,4211,22351,1035,89,20014,721,1435,168,1911,3139,3325,510,1183,26054,65,1496,7555,3363,3542,7898,199,52570,24,0,0,0,LOUISIANA,2016,1570
471,Under 18,17571,1149,4603,36,95,265,753,1173,2914,475,41,3124,12,33,9,258,589,398,8,168,1361,0,114,26,191,30,2307,32,2909,4,246,170,3747239,LOUISIANA,2017,263
472,Total all ages,166867,9494,29489,359,391,1195,7549,5260,22413,1692,124,18935,762,1519,146,2100,2785,3234,412,841,25770,41,1856,6117,2869,2965,7332,243,49696,15,246,0,0,LOUISIANA,2017,1232
473,Over 18,149296,8345,24886,323,296,930,6796,4087,19499,1217,83,15811,750,1486,137,1842,2196,2836,404,673,24409,41,1742,6091,2678,2935,5025,211,46787,11,0,0,0,LOUISIANA,2017,969
474,Under 18,16533,1175,3683,31,97,202,845,1099,2223,328,33,3231,52,33,0,408,390,439,4,117,1496,6,88,15,78,12,2076,29,2963,2,236,165,3954330,LOUISIANA,2018,214
475,Total all ages,176520,10465,30218,334,443,1376,8312,5163,23652,1304,99,21314,703,1283,138,2761,3019,3648,405,1102,30437,33,1727,5650,1287,2880,7178,250,51773,13,236,0,0,LOUISIANA,2018,1545
476,Over 18,159987,9290,26535,303,346,1174,7467,4064,21429,976,66,18083,651,1250,138,2353,2629,3209,401,985,28941,27,1639,5635,1209,2868,5102,221,48810,11,0,0,0,LOUISIANA,2018,1331
477,Under 18,12267,962,2546,30,79,169,684,629,1646,237,34,2504,8,22,3,177,380,384,3,99,921,13,105,21,71,21,1573,34,2276,5,139,136,3483954,LOUISIANA,2019,178
478,Total all ages,146664,8823,24465,339,333,920,7231,3794,19323,1254,94,15577,573,911,129,1900,2457,3119,339,562,25900,92,1369,5509,1842,2248,5683,323,44684,20,139,0,0,LOUISIANA,2019,895
479,Over 18,134397,7861,21919,309,254,751,6547,3165,17677,1017,60,13073,565,889,126,1723,2077,2735,336,463,24979,79,1264,5488,1771,2227,4110,289,42408,15,0,0,0,LOUISIANA,2019,717
480,Under 18,8590,754,1804,46,52,189,467,714,872,208,10,1493,2,44,3,328,343,322,1,62,588,6,55,18,45,33,958,30,1544,1,156,114,3362830,LOUISIANA,2020,114
481,Total all ages,116373,8721,18062,329,313,910,7169,3653,13334,996,79,15397,357,884,82,2101,2976,3508,207,711,20052,46,838,3778,1014,1115,4742,145,31465,16,156,0,0,LOUISIANA,2020,1024
482,Over 18,107783,7967,16258,283,261,721,6702,2939,12462,788,69,13904,355,840,79,1773,2633,3186,206,649,19464,40,783,3760,969,1082,3784,115,29921,15,0,0,0,LOUISIANA,2020,910
483,Under 18,8115,466,1207,36,16,52,362,344,688,166,9,1712,3,12,0,160,289,285,1,34,675,2,1,6,55,0,1535,0,1552,0,120,113,3042729,LOUISIANA,2021,50
484,Total all ages,72217,5727,12423,213,141,295,5078,2204,9353,823,43,11605,197,348,67,1504,2301,1937,141,198,16284,47,297,2261,655,0,3249,7,12849,0,120,0,0,LOUISIANA,2021,339
485,Over 18,64102,5261,11216,177,125,243,4716,1860,8665,657,34,9893,194,336,67,1344,2012,1652,140,164,15609,45,296,2255,600,0,1714,7,11297,0,0,0,0,LOUISIANA,2021,289
486,Under 18,4492,76,1166,0,16,20,40,183,913,50,20,639,5,9,0,19,286,17,0,52,501,0,4,51,727,2,135,0,753,0,50,179,1326033,MAINE,2013,68
487,Total all ages,49548,808,7749,17,82,177,532,1095,6358,250,46,5882,271,669,43,187,1255,304,49,222,5608,7,93,5826,3631,16,1663,7,15208,0,50,0,0,MAINE,2013,304
488,Over 18,45056,732,6583,17,66,157,492,912,5445,200,26,5243,266,660,43,168,969,287,49,170,5107,7,89,5775,2904,14,1528,7,14455,0,0,0,0,MAINE,2013,236
489,Under 18,3854,57,950,0,11,5,41,144,749,50,7,524,7,9,2,14,269,15,2,42,472,0,3,52,636,3,126,0,649,0,22,179,1327844,MAINE,2014,53
490,Total all ages,47815,762,7286,10,65,164,523,905,6117,222,42,5224,232,643,58,148,1168,270,52,207,5802,4,154,5531,3124,16,1568,0,15544,0,22,0,0,MAINE,2014,272
491,Over 18,43961,705,6336,10,54,159,482,761,5368,172,35,4700,225,634,56,134,899,255,50,165,5330,4,151,5479,2488,13,1442,0,14895,0,0,0,0,MAINE,2014,219
492,Under 18,3477,54,857,2,9,7,36,145,656,47,9,482,1,10,4,5,200,11,3,36,444,0,1,40,585,3,106,0,620,0,15,181,1327104,MAINE,2015,45
493,Total all ages,45230,800,6480,21,59,182,538,854,5361,236,29,4918,252,563,46,109,1005,228,81,184,5947,8,67,5756,2724,12,1317,4,14713,1,15,0,0,MAINE,2015,243
494,Over 18,41753,746,5623,19,50,175,502,709,4705,189,20,4436,251,553,42,104,805,217,78,148,5503,8,66,5716,2139,9,1211,4,14093,1,0,0,0,MAINE,2015,198
495,Under 18,3160,45,814,1,13,7,24,136,604,57,17,442,10,11,2,11,232,14,1,30,383,0,0,28,459,4,105,0,561,0,8,195,1328762,MAINE,2016,43
496,Total all ages,43473,774,5668,16,61,139,558,681,4704,206,77,4719,229,552,66,90,1052,149,105,187,5430,1,122,5834,2218,17,1309,0,14943,0,8,0,0,MAINE,2016,248
497,Over 18,40313,729,4854,15,48,132,534,545,4100,149,60,4277,219,541,64,79,820,135,104,157,5047,1,122,5806,1759,13,1204,0,14382,0,0,0,0,MAINE,2016,205
498,Under 18,3046,57,779,0,14,12,31,131,596,28,24,505,3,11,2,10,225,6,0,35,350,0,6,39,386,4,83,0,528,0,17,135,1335907,MAINE,2017,49
499,Total all ages,40675,780,5578,14,70,128,568,607,4683,225,63,4889,199,518,41,93,1067,130,119,182,3409,3,122,5835,2181,20,1257,0,14227,8,17,0,0,MAINE,2017,252
500,Over 18,37629,723,4799,14,56,116,537,476,4087,197,39,4384,196,507,39,83,842,124,119,147,3059,3,116,5796,1795,16,1174,0,13699,8,0,0,0,MAINE,2017,203
501,Under 18,2845,51,673,3,9,16,23,96,532,39,6,531,6,16,3,11,205,6,0,33,304,0,1,22,395,0,95,0,483,0,10,134,1338404,MAINE,2018,42
502,Total all ages,40851,756,5456,16,73,135,532,561,4615,235,45,4877,209,480,46,116,1032,144,54,167,3692,2,137,5811,2049,15,1360,1,14432,5,10,0,0,MAINE,2018,240
503,Over 18,38006,705,4783,13,64,119,509,465,4083,196,39,4346,203,464,43,105,827,138,54,134,3388,2,136,5789,1654,15,1265,1,13949,5,0,0,0,MAINE,2018,198
504,Under 18,2470,42,543,0,11,8,23,81,413,33,16,518,1,11,6,9,212,7,1,24,282,0,2,26,298,2,67,0,416,0,3,132,1339229,MAINE,2019,35
505,Total all ages,38973,685,5010,10,63,89,523,502,4266,197,45,4792,145,401,41,98,981,137,51,175,3600,3,154,5444,1577,13,1232,2,14427,2,3,0,0,MAINE,2019,238
506,Over 18,36503,643,4467,10,52,81,500,421,3853,164,29,4274,144,390,35,89,769,130,50,151,3318,3,152,5418,1279,11,1165,2,14011,2,0,0,0,MAINE,2019,203
507,Under 18,1689,37,388,0,6,13,18,93,219,55,21,349,0,9,1,3,174,1,0,26,121,0,2,22,226,1,56,0,263,0,10,129,1349630,MAINE,2020,32
508,Total all ages,32189,704,4136,12,62,110,520,454,3366,257,59,4431,118,301,20,105,961,130,37,112,3188,1,81,4095,910,3,860,2,11984,0,10,0,0,MAINE,2020,174
509,Over 18,30500,667,3748,12,56,97,502,361,3147,202,38,4082,118,292,19,102,787,129,37,86,3067,1,79,4073,684,2,804,2,11721,0,0,0,0,MAINE,2020,142
510,Under 18,1556,57,325,3,17,15,22,69,192,43,21,363,0,6,1,5,185,4,0,19,106,0,1,23,166,0,49,0,235,0,11,127,1360671,MAINE,2021,36
511,Total all ages,29060,686,3660,16,69,72,529,352,3047,203,58,4308,68,222,15,100,948,127,5,70,2807,1,87,4318,623,0,804,1,10199,0,11,0,0,MAINE,2021,139
512,Over 18,27504,629,3335,13,52,57,507,283,2855,160,37,3945,68,216,14,95,763,123,5,51,2701,1,86,4295,457,0,755,1,9964,0,0,0,0,MAINE,2021,103
513,Under 18,15429,1172,3797,10,24,617,521,771,2547,376,103,2910,26,29,4,9,586,309,2,88,2406,11,15,71,590,2,647,13,2517,16,209,146,3899502,MARYLAND,2013,112
514,Total all ages,168692,6925,20773,166,207,2156,4396,4206,15382,926,259,18220,536,1041,191,95,2222,2384,759,578,34006,88,1828,14793,3265,80,3930,269,56212,288,209,0,0,MARYLAND,2013,785
515,Over 18,153263,5753,16976,156,183,1539,3875,3435,12835,550,156,15310,510,1012,187,86,1636,2075,757,490,31600,77,1813,14722,2675,78,3283,256,53695,272,0,0,0,MARYLAND,2013,673
516,Under 18,17328,1549,4350,11,32,823,683,928,2851,475,96,3287,39,40,5,15,691,398,6,118,2342,52,10,78,486,2,853,28,2802,25,152,150,4625308,MARYLAND,2014,150
517,Total all ages,195120,8322,24566,195,284,2692,5151,4624,18584,1112,246,19353,553,1048,227,170,2527,2739,882,874,37780,239,1808,17839,5985,81,5875,131,63731,238,152,0,0,MARYLAND,2014,1158
518,Over 18,177792,6773,20216,184,252,1869,4468,3696,15733,637,150,16066,514,1008,222,155,1836,2341,876,756,35438,187,1798,17761,5499,79,5022,103,60929,213,0,0,0,MARYLAND,2014,1008
519,Under 18,15175,1427,3951,18,56,738,615,848,2532,469,102,3347,17,13,7,6,701,467,8,92,1607,40,16,69,416,0,725,9,2105,16,136,145,4545345,MARYLAND,2015,148
520,Total all ages,159178,8244,22032,257,336,2698,4953,4286,16408,1098,240,17681,486,817,193,110,2227,2716,615,692,26154,166,1364,17100,4985,21,4475,63,48711,190,136,0,0,MARYLAND,2015,1028
521,Over 18,144003,6817,18081,239,280,1960,4338,3438,13876,629,138,14334,469,804,186,104,1526,2249,607,600,24547,126,1348,17031,4569,21,3750,54,46606,174,0,0,0,MARYLAND,2015,880
522,Under 18,19506,1935,4862,11,74,1067,783,932,3169,620,141,4630,26,42,1,22,929,636,8,144,2167,19,10,60,512,8,873,23,2522,30,47,143,5197665,MARYLAND,2016,218
523,Total all ages,182631,9737,25715,270,403,3223,5841,4777,19083,1502,353,21522,582,896,115,144,2721,3181,584,687,30692,133,1972,17809,5398,14,4639,139,55773,131,47,0,0,MARYLAND,2016,1090
524,Over 18,163125,7802,20853,259,329,2156,5058,3845,15914,882,212,16892,556,854,114,122,1792,2545,576,543,28525,114,1962,17749,4886,6,3766,116,53251,101,0,0,0,MARYLAND,2016,872
525,Under 18,17653,2056,4510,14,60,1131,851,937,2839,639,95,3922,15,51,4,6,845,598,8,147,1948,41,9,45,233,2,821,5,2299,23,65,139,5488907,MARYLAND,2017,207
526,Total all ages,165877,9692,21726,286,352,3299,5755,4323,15337,1756,310,18261,423,893,77,73,2332,3215,748,578,28992,117,860,14385,3755,29,4202,82,55260,112,65,0,0,MARYLAND,2017,930
527,Over 18,148224,7636,17216,272,292,2168,4904,3386,12498,1117,215,14339,408,842,73,67,1487,2617,740,431,27044,76,851,14340,3522,27,3381,77,52961,89,0,0,0,MARYLAND,2017,723
528,Under 18,17825,1907,3705,22,83,1048,754,608,2462,525,110,4697,19,29,5,47,784,615,5,153,2046,19,13,41,311,1,967,16,2369,8,68,153,5879299,MARYLAND,2018,236
529,Total all ages,181434,10327,21592,266,477,3283,6301,3851,15404,2030,307,21826,440,866,103,337,2527,3694,809,690,31914,76,1821,18150,4439,56,4843,204,56390,262,68,0,0,MARYLAND,2018,1167
530,Over 18,163609,8420,17887,244,394,2235,5547,3243,12942,1505,197,17129,421,837,98,290,1743,3079,804,537,29868,57,1808,18109,4128,55,3876,188,54021,254,0,0,0,MARYLAND,2018,931
531,Under 18,18857,2046,3950,17,101,1191,737,649,2668,561,72,5248,16,45,3,41,852,618,2,152,1831,17,7,45,268,0,990,9,2680,1,36,151,6043312,MARYLAND,2019,253
532,Total all ages,181677,10256,21791,254,528,3292,6182,3634,16022,1913,222,22532,399,843,118,275,2738,3768,633,728,30005,58,1810,18160,4206,44,5018,227,57984,48,36,0,0,MARYLAND,2019,1256
533,Over 18,162820,8210,17841,237,427,2101,5445,2985,13354,1352,150,17284,383,798,115,234,1886,3150,631,576,28174,41,1803,18115,3938,44,4028,218,55304,47,0,0,0,MARYLAND,2019,1003
534,Under 18,709,81,279,0,7,58,16,102,126,51,0,79,0,0,0,1,31,30,0,8,110,0,0,3,19,0,10,0,58,0,0,6,1124569,MARYLAND,2020,15
535,Total all ages,8248,589,1851,16,83,170,320,305,1372,173,1,622,28,54,3,9,162,172,14,26,1386,0,23,1621,508,3,335,3,839,0,0,0,0,MARYLAND,2020,109
536,Over 18,7539,508,1572,16,76,112,304,203,1246,122,1,543,28,54,3,8,131,142,14,18,1276,0,23,1618,489,3,325,3,781,0,0,0,0,MARYLAND,2020,94
537,Under 18,2488,291,447,8,31,128,124,79,241,121,6,812,2,7,3,18,197,63,0,27,120,0,1,4,43,0,56,0,395,0,2,16,2189086,MARYLAND,2021,58
538,Total all ages,28784,2298,3247,66,148,511,1573,605,2247,364,31,3325,55,162,52,131,532,624,45,100,2557,0,178,3312,305,0,580,14,11265,0,2,0,0,MARYLAND,2021,248
539,Over 18,26296,2007,2800,58,117,383,1449,526,2006,243,25,2513,53,155,49,113,335,561,45,73,2437,0,177,3308,262,0,524,14,10870,0,0,0,0,MARYLAND,2021,190
540,Under 18,9366,1028,1789,3,17,245,763,419,1265,65,40,1876,16,24,1,163,461,161,1,53,382,0,62,57,639,201,712,1,1733,6,0,318,6411005,MASSACHUSETTS,2013,70
541,Total all ages,135362,10512,19719,50,270,1573,8619,3363,15672,560,124,21418,597,1490,133,1351,2864,1384,923,450,11206,15,1648,8381,3664,7256,6522,16,35755,58,0,0,0,MASSACHUSETTS,2013,720
542,Over 18,125996,9484,17930,47,253,1328,7856,2944,14407,495,84,19542,581,1466,132,1188,2403,1223,922,397,10824,15,1586,8324,3025,7055,5810,15,34022,52,0,0,0,MASSACHUSETTS,2013,650
543,Under 18,8375,987,1432,1,21,262,703,330,978,91,33,1755,11,22,4,131,478,160,2,51,274,1,23,49,508,169,567,0,1736,15,0,306,6054324,MASSACHUSETTS,2014,72
544,Total all ages,125708,10181,17915,47,274,1464,8396,2788,14437,603,87,19689,518,1288,133,1188,2759,1293,674,436,10516,23,1130,7530,3047,6875,5594,7,34846,66,0,0,0,MASSACHUSETTS,2014,710
545,Over 18,117333,9194,16483,46,253,1202,7693,2458,13459,512,54,17934,507,1266,129,1057,2281,1133,672,385,10242,22,1107,7481,2539,6706,5027,7,33110,51,0,0,0,MASSACHUSETTS,2014,638
546,Under 18,7281,886,1323,3,15,200,668,251,972,84,16,1534,17,27,2,170,426,172,3,35,203,0,27,45,362,50,432,0,1552,15,0,321,6194224,MASSACHUSETTS,2015,50
547,Total all ages,116347,9841,15577,52,270,1200,8319,2296,12664,564,53,17854,489,1186,127,1058,2528,1300,508,432,9761,24,1175,8258,2137,5678,4349,15,33952,98,0,0,0,MASSACHUSETTS,2015,702
548,Over 18,109066,8955,14254,49,255,1000,7651,2045,11692,480,37,16320,472,1159,125,888,2102,1128,505,397,9558,24,1148,8213,1775,5628,3917,15,32400,83,0,0,0,MASSACHUSETTS,2015,652
549,Under 18,6939,849,1285,6,28,185,630,213,928,111,33,1485,20,29,3,153,415,158,1,47,228,0,33,46,291,38,394,0,1464,0,0,342,6436240,MASSACHUSETTS,2016,75
550,Total all ages,119180,9656,14973,58,303,1263,8032,2135,12140,618,80,19027,469,1263,136,1084,2692,1238,553,418,9770,14,1231,9008,2000,5600,4329,11,35706,2,0,0,0,MASSACHUSETTS,2016,721
551,Over 18,112241,8807,13688,52,275,1078,7402,1922,11212,507,47,17542,449,1234,133,931,2277,1080,552,371,9542,14,1198,8962,1709,5562,3935,11,34242,2,0,0,0,MASSACHUSETTS,2016,646
552,Under 18,6732,793,1179,6,23,176,588,280,780,90,29,1562,16,17,3,134,345,169,1,52,215,1,45,29,231,24,447,0,1467,0,2,321,6522173,MASSACHUSETTS,2017,75
553,Total all ages,118676,9257,13671,62,296,1211,7688,2141,10837,608,85,19372,455,1271,122,1202,2534,1328,530,425,9791,6,1406,8665,1565,5187,4359,8,37518,2,2,0,0,MASSACHUSETTS,2017,721
554,Over 18,111944,8464,12492,56,273,1035,7100,1861,10057,518,56,17810,439,1254,119,1068,2189,1159,529,373,9576,5,1361,8636,1334,5163,3912,8,36051,2,0,0,0,MASSACHUSETTS,2017,646
555,Under 18,4508,464,615,0,17,88,359,132,428,39,16,1343,6,25,1,67,299,72,1,56,132,1,21,18,103,17,227,0,1040,0,0,327,5884293,MASSACHUSETTS,2018,73
556,Total all ages,101681,6608,10308,21,315,709,5563,1478,8263,512,55,17237,391,1087,112,794,2207,913,360,304,7125,9,1185,8280,1280,5168,3554,3,34756,0,0,0,0,MASSACHUSETTS,2018,619
557,Over 18,97173,6144,9693,21,298,621,5204,1346,7835,473,39,15894,385,1062,111,727,1908,841,359,248,6993,8,1164,8262,1177,5151,3327,3,33716,0,0,0,0,MASSACHUSETTS,2018,546
558,Under 18,4141,486,652,1,23,85,377,155,390,91,16,1212,9,19,3,98,242,94,0,39,110,0,11,15,64,12,167,0,908,0,0,334,5896253,MASSACHUSETTS,2019,62
559,Total all ages,101553,6262,9561,38,310,563,5351,1370,7621,509,61,16622,409,991,81,762,1947,891,348,327,7119,18,1025,9426,1152,4685,3532,53,36341,1,0,0,0,MASSACHUSETTS,2019,637
560,Over 18,97412,5776,8909,37,287,478,4974,1215,7231,418,45,15410,400,972,78,664,1705,797,348,288,7009,18,1014,9411,1088,4673,3365,53,35433,1,0,0,0,MASSACHUSETTS,2019,575
561,Under 18,3159,388,490,1,13,81,293,175,218,79,18,757,10,23,0,100,262,62,0,36,92,0,15,31,69,7,95,0,722,0,0,339,5984273,MASSACHUSETTS,2020,49
562,Total all ages,76381,5948,6310,39,254,534,5121,1102,4646,493,69,14781,247,565,44,787,1901,974,107,272,5708,10,1140,6597,598,1381,2085,12,26913,1,0,0,0,MASSACHUSETTS,2020,526
563,Over 18,73222,5560,5820,38,241,453,4828,927,4428,414,51,14024,237,542,44,687,1639,912,107,236,5616,10,1125,6566,529,1374,1990,12,26191,1,0,0,0,MASSACHUSETTS,2020,477
564,Under 18,3561,463,448,3,18,63,379,138,207,77,26,1118,4,19,0,103,215,141,0,33,59,0,12,17,75,0,103,0,751,0,0,368,6929534,MASSACHUSETTS,2021,51
